window_id,ai_anomaly_score,ai_alert_flag,alert_threshold_x,pipeline_run_id_x,network_anomaly_score,ids_alert_flag,predicted_attack_type,alert_threshold_y,pipeline_run_id_y,fused_score
0,0.679149,1,0.5,2025-05-13T11:42:07,0.875007,1,SCADA_Injection,0.5,2025-05-13T11:42:07,0.7574922
1,0.079785,0,0.5,2025-05-13T11:42:07,0.866532,1,DDoS,0.5,2025-05-13T11:42:07,0.3944838
2,0.859644,1,0.5,2025-05-13T11:42:07,0.786495,1,SCADA_Injection,0.5,2025-05-13T11:42:07,0.8303844
3,0.894147,1,0.5,2025-05-13T11:42:07,0.801396,1,SCADA_Injection,0.5,2025-05-13T11:42:07,0.8570466
4,0.134827,0,0.5,2025-05-13T11:42:07,0.878168,1,SCADA_Injection,0.5,2025-05-13T11:42:07,0.4321634
5,0.764449,1,0.5,2025-05-13T11:42:07,0.810281,1,Replay,0.5,2025-05-13T11:42:07,0.7827818
6,0.698924,1,0.5,2025-05-13T11:42:07,0.112901,0,Normal,0.5,2025-05-13T11:42:07,0.46451479999999995
7,0.674949,1,0.5,2025-05-13T11:42:07,0.84702,1,Malware,0.5,2025-05-13T11:42:07,0.7437773999999999
8,0.345579,0,0.5,2025-05-13T11:42:07,0.312629,0,Normal,0.5,2025-05-13T11:42:07,0.332399
9,0.866009,1,0.5,2025-05-13T11:42:07,0.846279,1,Malware,0.5,2025-05-13T11:42:07,0.858117
10,0.226299,0,0.5,2025-05-13T11:42:07,0.874315,1,DDoS,0.5,2025-05-13T11:42:07,0.4855054
11,0.687849,1,0.5,2025-05-13T11:42:07,0.055161,0,Normal,0.5,2025-05-13T11:42:07,0.4347738
12,0.71457,1,0.5,2025-05-13T11:42:07,0.066599,0,Normal,0.5,2025-05-13T11:42:07,0.4553816
13,0.650259,1,0.5,2025-05-13T11:42:07,0.043913,0,Normal,0.5,2025-05-13T11:42:07,0.4077206
14,0.245393,0,0.5,2025-05-13T11:42:07,0.01161,0,Normal,0.5,2025-05-13T11:42:07,0.1518798
15,0.157165,0,0.5,2025-05-13T11:42:07,0.096843,0,Normal,0.5,2025-05-13T11:42:07,0.1330362
16,0.808978,1,0.5,2025-05-13T11:42:07,0.907111,1,Replay,0.5,2025-05-13T11:42:07,0.8482312
17,0.113316,0,0.5,2025-05-13T11:42:07,0.193696,0,Normal,0.5,2025-05-13T11:42:07,0.145468
18,0.550644,1,0.5,2025-05-13T11:42:07,0.787862,1,Malware,0.5,2025-05-13T11:42:07,0.6455312
19,0.622044,1,0.5,2025-05-13T11:42:07,0.024443,0,Normal,0.5,2025-05-13T11:42:07,0.3830036
20,0.909691,1,0.5,2025-05-13T11:42:07,0.103213,0,Normal,0.5,2025-05-13T11:42:07,0.5870998000000001
21,0.249326,0,0.5,2025-05-13T11:42:07,0.654148,1,DDoS,0.5,2025-05-13T11:42:07,0.4112548
22,0.827684,1,0.5,2025-05-13T11:42:07,0.222608,0,Normal,0.5,2025-05-13T11:42:07,0.5856536
23,0.8009,1,0.5,2025-05-13T11:42:07,0.749803,1,Replay,0.5,2025-05-13T11:42:07,0.7804612
24,0.72946,1,0.5,2025-05-13T11:42:07,0.159817,0,Normal,0.5,2025-05-13T11:42:07,0.5016028
25,0.064611,0,0.5,2025-05-13T11:42:07,0.746153,1,Malware,0.5,2025-05-13T11:42:07,0.33722779999999997
26,0.780882,1,0.5,2025-05-13T11:42:07,0.870801,1,Malware,0.5,2025-05-13T11:42:07,0.8168496000000001
27,0.290612,0,0.5,2025-05-13T11:42:07,0.724333,1,DDoS,0.5,2025-05-13T11:42:07,0.46410039999999997
28,0.093489,0,0.5,2025-05-13T11:42:07,0.847598,1,DDoS,0.5,2025-05-13T11:42:07,0.3951326
29,0.797279,1,0.5,2025-05-13T11:42:07,0.877296,1,Malware,0.5,2025-05-13T11:42:07,0.8292858
30,0.87041,1,0.5,2025-05-13T11:42:07,0.356225,0,Normal,0.5,2025-05-13T11:42:07,0.664736
31,0.861588,1,0.5,2025-05-13T11:42:07,0.162366,0,Normal,0.5,2025-05-13T11:42:07,0.5818992
32,0.015288,0,0.5,2025-05-13T11:42:07,0.075513,0,Normal,0.5,2025-05-13T11:42:07,0.039378
33,0.018368,0,0.5,2025-05-13T11:42:07,0.124818,0,Normal,0.5,2025-05-13T11:42:07,0.060948
34,0.913345,1,0.5,2025-05-13T11:42:07,0.266482,0,Normal,0.5,2025-05-13T11:42:07,0.6545998
35,0.30916,0,0.5,2025-05-13T11:42:07,0.290542,0,Normal,0.5,2025-05-13T11:42:07,0.3017128
36,0.180811,0,0.5,2025-05-13T11:42:07,0.804219,1,Replay,0.5,2025-05-13T11:42:07,0.4301742
37,0.758555,1,0.5,2025-05-13T11:42:07,0.010348,0,Normal,0.5,2025-05-13T11:42:07,0.45927219999999996
38,0.472896,0,0.5,2025-05-13T11:42:07,0.815966,1,Malware,0.5,2025-05-13T11:42:07,0.610124
39,0.752325,1,0.5,2025-05-13T11:42:07,0.827674,1,DDoS,0.5,2025-05-13T11:42:07,0.7824646
40,0.151214,0,0.5,2025-05-13T11:42:07,0.117988,0,Normal,0.5,2025-05-13T11:42:07,0.13792359999999998
41,0.808894,1,0.5,2025-05-13T11:42:07,0.238112,0,Normal,0.5,2025-05-13T11:42:07,0.5805812
42,0.826198,1,0.5,2025-05-13T11:42:07,0.894807,1,Malware,0.5,2025-05-13T11:42:07,0.8536416
43,0.069353,0,0.5,2025-05-13T11:42:07,0.82974,1,Malware,0.5,2025-05-13T11:42:07,0.3735078
44,0.78141,1,0.5,2025-05-13T11:42:07,0.825005,1,SCADA_Injection,0.5,2025-05-13T11:42:07,0.798848
45,0.759272,1,0.5,2025-05-13T11:42:07,0.754661,1,SCADA_Injection,0.5,2025-05-13T11:42:07,0.7574276
46,0.064862,0,0.5,2025-05-13T11:42:07,0.120536,0,Normal,0.5,2025-05-13T11:42:07,0.0871316
47,0.039543,0,0.5,2025-05-13T11:42:07,0.799177,1,Malware,0.5,2025-05-13T11:42:07,0.34339660000000005
48,0.856674,1,0.5,2025-05-13T11:42:07,0.748226,1,DDoS,0.5,2025-05-13T11:42:07,0.8132948
49,0.419836,0,0.5,2025-05-13T11:42:07,0.856582,1,SCADA_Injection,0.5,2025-05-13T11:42:07,0.5945344
50,0.079873,0,0.5,2025-05-13T11:42:07,0.83899,1,Replay,0.5,2025-05-13T11:42:07,0.3835198
51,0.023953,0,0.5,2025-05-13T11:42:07,0.887379,1,DDoS,0.5,2025-05-13T11:42:07,0.3693234
52,0.885488,1,0.5,2025-05-13T11:42:07,0.882037,1,Malware,0.5,2025-05-13T11:42:07,0.8841076
53,0.777198,1,0.5,2025-05-13T11:42:07,0.269214,0,Normal,0.5,2025-05-13T11:42:07,0.5740044000000001
54,0.710847,1,0.5,2025-05-13T11:42:07,0.04318,0,Normal,0.5,2025-05-13T11:42:07,0.4437802
55,0.829904,1,0.5,2025-05-13T11:42:07,0.858689,1,Replay,0.5,2025-05-13T11:42:07,0.841418
56,0.661125,1,0.5,2025-05-13T11:42:07,0.721779,1,DDoS,0.5,2025-05-13T11:42:07,0.6853866
57,0.829207,1,0.5,2025-05-13T11:42:07,0.276329,0,Normal,0.5,2025-05-13T11:42:07,0.6080558
58,0.083501,0,0.5,2025-05-13T11:42:07,0.81786,1,Malware,0.5,2025-05-13T11:42:07,0.37724460000000004
59,0.234502,0,0.5,2025-05-13T11:42:07,0.852788,1,DDoS,0.5,2025-05-13T11:42:07,0.48181640000000003
60,0.836096,1,0.5,2025-05-13T11:42:07,0.795802,1,Malware,0.5,2025-05-13T11:42:07,0.8199783999999999
61,0.581288,1,0.5,2025-05-13T11:42:07,0.163941,0,Normal,0.5,2025-05-13T11:42:07,0.4143492
62,0.859104,1,0.5,2025-05-13T11:42:07,0.072017,0,Normal,0.5,2025-05-13T11:42:07,0.5442692
63,0.728613,1,0.5,2025-05-13T11:42:07,0.061066,0,Normal,0.5,2025-05-13T11:42:07,0.46159419999999995
64,0.932402,1,0.5,2025-05-13T11:42:07,0.768713,1,SCADA_Injection,0.5,2025-05-13T11:42:07,0.8669264
65,0.55741,1,0.5,2025-05-13T11:42:07,0.089031,0,Normal,0.5,2025-05-13T11:42:07,0.37005839999999995
